file,number,has_suffix,creates_table,creates_function,creates_policy,creates_trigger,storage,cron
0108_seed_auto_playlists_and_scalar_match.sql,0108,no,,y,,,,
0109_bulk_moderation_and_batch_email.sql,0109,no,,y,,,,
0110_playlist_representative_cover.sql,0110,no,,y,,,,
0111_admin_bulk_delete_tracks.sql,0111,no,y,y,y,,,
0112_admin_set_track_cover.sql,0112,no,,y,,,,
0113_auto_playlist_generation_placement.sql,0113,no,y,y,y,,,
0114_auto_placement_engine.sql,0114,no,,y,,y,,
0115_auto_placement_admin_rpcs.sql,0115,no,,y,,,,
0116_business_preview_limit.sql,0116,no,y,y,y,,,
0117_standardized_track_metadata.sql,0117,no,,y,,,,
0118_artist_approval_sync_fix.sql,0118,no,,y,,,,
0119_admin_monthly_streaming_summary.sql,0119,no,,y,,,,
0120_users_block_privileged_self_update.sql,0120,no,,,,,,
0121_admin_withdraw_user_mask_and_admin_guard.sql,0121,no,,y,,,,
0122_fix_admin_mask_user_pii_notnull.sql,0122,no,,y,,,,
0123_admin_repair_withdrawn_user.sql,0123,no,,y,,,,
0124_users_email_release_columns.sql,0124,no,,,,,,
0125_admin_release_withdrawn_email.sql,0125,no,,y,,,,
0126_withdraw_repair_auto_release_email.sql,0126,no,,y,,,,
0127_fix_submit_artist_signup_profile_ambiguous.sql,0127,no,,y,,,,
0128_artist_invite_codes.sql,0128,no,y,y,y,,,
0129_artist_grant_guard.sql,0129,no,,y,,y,,
0130_code_gated_artist_creation.sql,0130,no,,y,,,,
0131_allow_released_takedown.sql,0131,no,,y,,,,
0132_artist_gate_via_sales_code.sql,0132,no,,y,,,,
0133_exclude_removed_tracks_global.sql,0133,no,,y,,,,
0134_user_music_preferences.sql,0134,no,y,y,y,,,
0135_personalized_recommendation_rpcs.sql,0135,no,,y,,,,
0136_fix_recommendation_score_ambiguity.sql,0136,no,,y,,,,
0137_settlement_pool_ratio_50.sql,0137,no,,y,,,,
0138_global_removed_track_exclusion_and_cover_required.sql,0138,no,,y,y,,,
0139_review_reject_to_removed_and_approve_gate.sql,0139,no,,y,,,,
0140_revoke_payment_internals_from_clients.sql,0140,no,,,,,,
0141_revoke_payment_internals_from_public.sql,0141,no,,,,,,
0142_revoke_email_worker_rpcs_from_clients.sql,0142,no,,,,,,
0143_track_metadata_language_param.sql,0143,no,,y,,,,
0144_admin_replace_track_audio_reencode.sql,0144,no,,y,,,,
0145_immutable_fields_allow_audio_reencode.sql,0145,no,,y,,,,
0146_require_metadata_for_release_states.sql,0146,no,,y,,y,,
0147_fix_require_metadata_array_append.sql,0147,no,,y,,,,
0148_admin_list_reencode_candidates.sql,0148,no,,y,,,,
0149_cleanup_removed_playlist_links.sql,0149,no,,y,,y,,
0150_audio_conversion_failure_tracking.sql,0150,no,,y,,,,
0151_allow_conversion_failed_health_status.sql,0151,no,,,,,,
0152_metadata_violation_skip_tracking.sql,0152,no,y,y,y,,,
0153_track_storage_path_and_original_filename.sql,0153,no,,y,,,,
0154_upload_stabilization_gate_and_audit.sql,0154,no,,y,,,y,
0155_review_audio_meta_and_backfill.sql,0155,no,,y,,,,
0156_ai_curation_schema.sql,0156,no,y,,y,,,
0157_ai_curation_scoring.sql,0157,no,,y,,,,
